title,url,price,ram,storage,graphics,display_size,generation,processor,discount
    Microsoft Surface Pro 9 (Wi-Fi) Intel Core i5 ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-wi-fi-intel-core-i5-1245u-13-inch-pixelsense-flow-display-graphite-2-in-1-detachable-laptop,"Tk 159,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Laptop 5 Intel Core i5 1235 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-5-intel-core-i5-1235u-13.5-inch-pixelsense-multi-touch-display-platinum-alcantara-surface-laptop,"Tk 159,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Apple MacBook Air (2022) Apple M2 Apple Chip ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-apple-chip-starlight-macbook-z15y001su,"Tk 165,000 ",RAM - 16GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Lenovo IdeaPad Gaming 3i 16IAH7 12th Gen Inte ...,https://www.ryanscomputers.com/lenovo-ideapad-gaming-3i-16iah7-12th-gen-intel-core-i7-12650h-16-inch-2k-wuxga-ips-display-onyx-grey-gaming-laptop,"Tk 165,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 16,Generation - 12th (Intel),Processor Type. - Core i7,not available
    Microsoft Surface Pro 9 (Wi-Fi) Intel Core i7 ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-wi-fi-intel-core-i7-1265u-256GB-SSD-13-inch-pixelsense-flow-multi-touch-display-platinum-2-in-1-detachable-laptop,"Tk 169,000 ",RAM - 16GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - 12th (Intel),Processor Type. - Core i7,not available
    Asus TUF Gaming A15 FA507RE AMD Ryzen 7 6800H ...,https://www.ryanscomputers.com/asus-tuf-gaming-a15-fa507re-amd-ryzen-7-6800h-tuf-gaming-laptop,"Tk 169,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Asus TUF Gaming A15 FA507RE AMD Ryzen 7 6800H ...,https://www.ryanscomputers.com/asus-tuf-gaming-a15-fa507re-amd-ryzen-7-6800h-jaeger-gray-tuf-gaming-laptop,"Tk 169,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Asus VivoBook Pro 16X M7600QE AMD Ryzen 7 580 ...,https://www.ryanscomputers.com/asus-vivobook-pro-16x-m7600qe-amd-ryzen-7-5800h-16-inch-4k-wquxga-oled-display-0-degree-black-laptop,"Tk 174,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 16,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Apple MacBook Air (2022) Apple M2 Chip 512GB ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-512gb-ssd-space-gray-macbook,"Tk 174,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Air (2022) Apple M2 Chip 13.6 I ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-13.6-inch-liquid-retina-display-silver-macbook,"Tk 174,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Air (2022) Apple M2 Chip 10-Cor ...,https://www.ryanscomputers.com/apple-macbook-air-2022-13.6-inch-liquid-retina-display-midnight-macbook,"Tk 174,000 ",RAM - 8GB,Storage - 512GB,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Air (2022) Apple M2 Chip 13.6 I ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-512gb-ssd-13.6-inch-liquid-retina-display-starlight-macbook,"Tk 174,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
